origen,id_vivo,catalog_key,name_es,name_en,sort_order,radio_channel,existence,account_hint,puestos,nota
vivo,5,executive,Productores,Producers,10,3,core,1000,7,
vivo,1,direction,Dirección,Direction,20,1,core,1200,4,
vivo,6,writers,Escritores,Writers,30,,core,1100,4,
vivo,3,production,Producción,Production,40,3,core,2000,4,
vivo,4,production,Oficina de Producción,Production Office,50,3,core,2000,6,
vivo,2,direction,Asistentes de Dirección,Assistant Directors,60,1,core,1200,7,
vivo,39,,Continuidad,Continuity,70,,PROPUESTO:core,,0,
vivo,23,casting,Casting,Casting,80,,core,1300,5,
vivo,40,casting,Casting de Extras,Extras Casting,90,,core,1300,0,
vivo,7,camera,Cámara,Camera,100,5,core,2700,8,
vivo,12,,"Video Assist, DIT y Data","Video Assist, DIT & Data",110,7,PROPUESTO:core,,2,
vivo,11,sound,Sonido,Sound,120,7,core,2800,3,
vivo,8,electric,Eléctricos,Electric,130,6,core,2500,4,
vivo,9,grip,Grips,Grip,140,6,core,2400,4,
vivo,10,,Rigging,Rigging,150,6,PROPUESTO:core,,4,
vivo,41,,Foto Fija,Still Photography,160,,PROPUESTO:core,,0,
vivo,15,art,Arte,Art Department,170,10,core,2200,12,
vivo,16,set_dec,Decoración,Set Decoration,180,10,core,2300,12,
vivo,18,props,Utilería,Property,190,10,core,2600,8,
vivo,17,construction,Construcción,Construction,200,6,core,2250,16,
vivo,14,costume,Vestuario,Wardrobe,210,8,core,3100,14,
vivo,13,hmu,Maquillaje y Peinados,Make-Up & Hair,220,9,core,3200,5,
vivo,22,sfx,Efectos Especiales,Special Effects,230,,conditional,2900,3,
vivo,27,vfx,Efectos Visuales,Visual Effects,240,,conditional,5000,3,
vivo,25,stunts,Stunts,Stunts,250,12,conditional,1400,2,
vivo,21,picture_cars,Picture Cars,Picture Cars,260,11,conditional,3550,3,
vivo,36,animals,Animales,Animals,270,,conditional,3300,1,
vivo,24,casting,Extras,Background,280,,core,1300,2,
vivo,19,locations,Locaciones,Locations,290,4,core,3400,13,
vivo,20,transport,Transportación,Transportation,300,15,core,3500,9,
vivo,30,catering,Alimentación,Catering,310,13,core,3700,4,
vivo,42,catering,Craft Service,Craft Service,320,,core,3700,0,
vivo,37,,Equipo,Equipment,330,,PROPUESTO:core,,5,
vivo,38,,Ambulancia,Ambulance,340,,PROPUESTO:core,,1,
vivo,33,security,Seguridad,Security,350,14,core,3850,3,
vivo,31,medical,Salud y Seguridad,Health & Safety,360,16,core,3800,4,
vivo,45,medical,Servicios Médicos,Medic,370,,core,3800,0,
vivo,32,sustainability,Sustentabilidad,Sustainability,380,,conditional,3900,5,
vivo,29,accounting,Contabilidad,Accounting,390,,core,2050,5,
vivo,44,,Legal y Clearance,Legal & Clearance,400,,PROPUESTO:core,,0,
vivo,34,compliance,ANDA,ANDA,410,,jurisdictional,,1,
vivo,28,post,Post Producción,Post Production,420,,core,5100,3,
vivo,26,,Música,Music,430,,PROPUESTO:core,,1,
vivo,35,,Otros,Other,440,,PROPUESTO:core,,5,
semilla,,video,DIT / Video,Video & DIT,450,,core,2750,0,NUEVO desde semilla
semilla,,greens,Jardinería de Escena,Greens,460,,conditional,2260,0,NUEVO desde semilla
semilla,,welfare,Bienestar de Menores,Minors & Welfare,470,,conditional,1450,0,NUEVO desde semilla
semilla,,publicity,Prensa / EPK,Publicity & EPK,480,,conditional,6000,0,NUEVO desde semilla
