origen,id_vivo,catalog_key,depto,dept_key,name_es,name_en,rank,binding,hod_capable,grade,existence,is_hod_vivo,usos,conflicto
solo vivo,191,,ANDA,compliance,Delegada del A.N.D.A.,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,catering.coordinator,Alimentación,catering,Coordinador de Alimentación,Catering Coordinator,10,unit,1,coordinator,core,,0,NUEVO desde semilla
solo semilla,,catering.chef,Alimentación,catering,Chef,Head Chef,20,unit,0,key,core,,0,NUEVO desde semilla
ambos,174,catering.craft_service,Alimentación,catering,Coordinador de Craft,Craft Service,30,unit,1,coordinator,core,1,1,
solo vivo,177,,Alimentación,catering,Crew de Cocina,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,176,catering.crew,Alimentación,catering,Asst. Cafetero,Catering Crew,60,unit,0,operator,core,0,0,
ambos,175,catering.crew,Alimentación,catering,Cafetero,Catering Crew,60,unit,0,operator,core,0,3,
solo semilla,,set_dec.buyer,Ambientación,set_dec,Comprador de Ambientación,Set Dec Buyer,40,production,0,key,core,,0,NUEVO desde semilla
ambos,182,medical.paramedic,Ambulancia,,Ambulancia,Paramedic,50,unit,0,operator,core,0,0,
ambos,123,animals.head_trainer,Animales,animals,Animalero,Head Animal Trainer,10,unit,1,key,conditional,0,0,HOD difiere
solo semilla,,animals.assistant,Animales,animals,Asistente Animalero,Animal Handler,50,unit,0,assistant,conditional,,0,NUEVO desde semilla
solo vivo,86,,Arte,art,Asst. de Diseñador Gráfico,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,78,,Arte,art,Director de Arte en Set,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,85,,Arte,art,Diseñador Gráfico,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,76,art.production_designer,Arte,art,Diseñador de Producción,Production Designer,10,production,1,manager,core,1,1,
solo vivo,84,,Arte,art,Diseñador de Sets,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,art.supervising_art_director,Arte,art,Director de Arte Supervisor,Supervising Art Director,15,production,0,manager,conditional,,0,NUEVO desde semilla
ambos,77,art.art_director,Arte,art,Director de Arte,Art Director,20,unit,1,manager,core,0,4,HOD difiere
ambos,81,art.art_coordinator,Arte,art,Coordinador de Arte,Art Coordinator,30,production,1,coordinator,core,0,0,HOD difiere
ambos,79,art.assistant_art_director,Arte,art,Asst. de Dirección de Arte,Assistant Art Director,40,unit,0,assistant,core,0,0,
solo semilla,,art.set_designer,Arte,art,Dibujante de Arte,Set Designer,40,production,0,key,conditional,,0,NUEVO desde semilla
solo semilla,,art.concept_artist,Arte,art,Ilustrador,Concept Artist,40,production,0,key,conditional,,0,NUEVO desde semilla
solo vivo,87,,Arte,art,Artista Conceptual,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,82,,Arte,art,Asistente de Coord. de Arte,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,83,,Arte,art,Asistente de Oficina de Arte,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,80,,Arte,art,Asst. de Diseño de Producción,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,art.art_assistant,Arte,art,Asistente de Arte,Art PA,60,unit,0,assistant,core,,0,NUEVO desde semilla
ambos,5,direction.first_ad,Asistentes de Dirección,direction,1er AD,First AD,20,unit,1,manager,core,1,1,
ambos,6,direction.key_second_ad,Asistentes de Dirección,direction,Key 2nd AD,Key 2nd AD,30,unit,0,key,core,0,0,
ambos,7,direction.second_ad,Asistentes de Dirección,direction,2nd AD,Second AD,40,unit,0,assistant,core,0,0,
ambos,8,direction.third_ad,Asistentes de Dirección,direction,2nd 2nd AD,Second Second AD,50,unit,0,assistant,core,0,0,
ambos,11,direction.set_pa,Asistentes de Dirección,direction,Cast PA,Set PA,60,unit,0,assistant,core,0,0,
ambos,9,direction.set_pa,Asistentes de Dirección,direction,Key Set PA,Set PA,60,unit,0,assistant,core,0,0,
ambos,10,direction.set_pa,Asistentes de Dirección,direction,Set PA,Set PA,60,unit,0,assistant,core,0,5,
solo semilla,,welfare.studio_teacher,Bienestar de Menores,welfare,Maestro Tutor,Studio Teacher,10,unit,1,key,conditional,,0,NUEVO desde semilla
solo semilla,,welfare.chaperone,Bienestar de Menores,welfare,Acompañante de Menores,Chaperone,50,unit,0,assistant,conditional,,0,NUEVO desde semilla
ambos,153,casting.casting_director,Casting,casting,Director de Casting,Casting Director,10,production,1,manager,core,1,0,
ambos,155,casting.casting_coordinator,Casting,casting,Coordinador de Casting,Casting Coordinator,30,production,1,coordinator,core,0,0,HOD difiere
ambos,157,casting.cast_supervisor,Casting,casting,Supervisora de Elenco,Cast Supervisor,30,production,0,coordinator,core,0,0,
solo vivo,156,,Casting,casting,Asistente de Casting,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,154,,Casting,casting,Asociado de Casting,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,casting.extras_wrangler,Casting,casting,Wrangler de Extras,Background Wrangler,50,unit,0,assistant,core,,0,NUEVO desde semilla
ambos,100,construction.coordinator,Construcción,construction,Constructor,Construction Coordinator,10,production,1,coordinator,core,1,1,
ambos,101,construction.coordinator,Construcción,construction,Coordinador de Construcción,Construction Coordinator,10,production,1,coordinator,core,0,0,HOD difiere
solo vivo,115,,Construcción,construction,Head Welder,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,105,,Construcción,construction,Jefe de Carpintería,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,107,,Construcción,construction,Jefe de Pintura Escénica,FALTA,10,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,construction.paint_foreman,Construcción,construction,Jefe de Pintura,Paint Foreman,30,unit,0,key,core,,0,NUEVO desde semilla
ambos,103,construction.foreman,Construcción,construction,Foreman,Construction Foreman,40,unit,0,key,core,0,0,
solo vivo,111,,Construcción,construction,Apoyo Eventual de Construcción,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,109,,Construcción,construction,Asistente de Pintor Escénico,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,102,,Construcción,construction,Asst. Coord. Construcción,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,112,set_dec.warehouse,Construcción,construction,Bodeguero,Warehouse Manager,50,production,0,operator,core,0,0,
solo vivo,110,,Construcción,construction,Compras de Construcción,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,114,,Construcción,construction,Gang Boss Welder,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,106,,Construcción,construction,Herrero,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo vivo,113,,Construcción,construction,Welder,FALTA,50,unit,0,,core,0,0,PROPUESTO: rank/binding/name_en
ambos,104,construction.carpenter,Construcción,construction,Carpintero,Carpenter,60,unit,0,operator,core,0,5,
ambos,108,construction.painter,Construcción,construction,Pintor,Painter,60,unit,0,operator,core,0,0,
ambos,169,accounting.accountant,Contabilidad,accounting,Contador de Producción,Production Accountant,10,production,1,manager,core,1,1,
solo vivo,171,,Contabilidad,accounting,Contador Fiscal,FALTA,20,production,0,,core,0,1,PROPUESTO: rank/binding/name_en
solo semilla,,accounting.first_assistant,Contabilidad,accounting,1er Asistente Contable,First Assistant Accountant,40,production,0,key,core,,0,NUEVO desde semilla
ambos,173,accounting.assistant,Contabilidad,accounting,Asistente de Contabilidad,Assistant Accountant,50,production,0,assistant,core,0,0,
ambos,170,accounting.assistant,Contabilidad,accounting,Asst. Contable,Assistant Accountant,50,production,0,assistant,core,0,0,
solo vivo,172,,Contabilidad,accounting,Auxiliar de Contabilidad,FALTA,50,production,0,,core,0,0,PROPUESTO: rank/binding/name_en
solo semilla,,accounting.payroll,Contabilidad,accounting,Nómina,Payroll Accountant,50,production,0,assistant,core,,0,NUEVO desde semilla
